user_id,email,full_name,plan,events_total,had_return_visit,is_premium,churn_probability,churn_risk,last_event_at
100,user100@test.com,Test User 100,free,1,0,0,0.976122,High,2026-04-30 04:50:54.342022+00:00
103,user103@test.com,Test User 103,free,1,0,0,0.976122,High,2026-05-09 04:36:54.414556+00:00
90,user90@test.com,Test User 90,free,1,0,0,0.976122,High,2026-05-08 10:38:32.572661+00:00
99,user99@test.com,Test User 99,free,1,0,0,0.976122,High,2026-06-01 11:34:23.985432+00:00
60,user60@test.com,Test User 60,free,3,0,0,0.97461873,High,2026-04-23 12:46:53.233478+00:00
65,user65@test.com,Test User 65,free,3,0,0,0.97461873,High,2026-04-25 15:00:43.801210+00:00
64,user64@test.com,Test User 64,free,3,0,0,0.97461873,High,2026-04-28 00:24:14.698357+00:00
72,user72@test.com,Test User 72,free,3,0,0,0.97338265,High,2026-05-19 20:13:04.762448+00:00
73,user73@test.com,Test User 73,free,3,0,0,0.97338265,High,2026-05-19 16:02:08.233507+00:00
101,user101@test.com,Test User 101,free,1,0,0,0.9715333,High,2026-06-20 11:28:10.828017+00:00
95,user95@test.com,Test User 95,free,1,0,0,0.97043025,High,2026-05-19 16:01:39.803137+00:00
44,user44@test.com,Test User 44,free,4,1,0,0.9584913,High,2026-05-08 13:30:48.162880+00:00
51,user51@test.com,Test User 51,free,4,1,0,0.9584913,High,2026-05-18 11:23:53.208613+00:00
52,user52@test.com,Test User 52,free,4,1,0,0.9584913,High,2026-05-14 16:22:40.738989+00:00
50,user50@test.com,Test User 50,free,4,1,0,0.9584913,High,2026-05-21 13:57:29.805172+00:00
47,user47@test.com,Test User 47,free,4,1,0,0.9495077,High,2026-05-23 04:23:22.385134+00:00
88,user88@test.com,Test User 88,free,2,0,0,0.94543505,High,2026-06-07 10:35:37.396868+00:00
74,user74@test.com,Test User 74,free,2,0,0,0.94543505,High,2026-06-04 15:31:49.085502+00:00
79,user79@test.com,Test User 79,free,2,0,0,0.94543505,High,2026-04-27 10:14:01.663356+00:00
83,user83@test.com,Test User 83,free,2,0,0,0.94543505,High,2026-04-24 14:53:51.869374+00:00
75,user75@test.com,Test User 75,free,2,0,0,0.94543505,High,2026-04-24 21:46:21.919844+00:00
55,user55@test.com,Test User 55,free,4,1,0,0.94464624,High,2026-06-02 01:47:40.086136+00:00
53,user53@test.com,Test User 53,free,4,1,0,0.94464624,High,2026-06-03 00:04:28.864037+00:00
56,user56@test.com,Test User 56,premium,4,1,1,0.90811867,High,2026-05-12 11:13:43.662779+00:00
93,user93@test.com,Test User 93,free,1,0,0,0.88258994,High,2026-05-11 15:15:37.751850+00:00
97,user97@test.com,Test User 97,free,1,0,0,0.86773664,High,2026-05-22 22:52:59.990950+00:00
96,user96@test.com,Test User 96,free,1,0,0,0.844215,High,2026-05-31 14:49:41.453041+00:00
69,user69@test.com,Test User 69,free,3,0,0,0.81383187,High,2026-06-01 11:36:17.739824+00:00
68,user68@test.com,Test User 68,free,3,0,0,0.8108399,High,2026-05-10 20:41:35.168098+00:00
102,user102@test.com,Test User 102,free,1,0,0,0.8100367,High,2026-06-09 18:44:16.650901+00:00
81,user81@test.com,Test User 81,free,2,0,0,0.8001161,High,2026-05-19 11:12:02.735777+00:00
78,user78@test.com,Test User 78,free,2,0,0,0.8001161,High,2026-05-21 08:19:24.444150+00:00
1,neha@test.com,Neha Sharma,premium,27,1,1,0.79215175,High,2026-05-31 04:14:43.807495+00:00
98,user98@test.com,Test User 98,premium,1,0,1,0.7702476,High,2026-05-30 00:30:30.100297+00:00
45,user45@test.com,Test User 45,free,4,1,0,0.74813044,High,2026-05-28 03:45:21.837753+00:00
3,sara@test.com,Sara Khan,free,1,0,0,0.73574257,High,2026-05-31 04:11:43.807495+00:00
70,user70@test.com,Test User 70,premium,3,0,1,0.73005134,High,2026-05-29 14:37:49.726127+00:00
62,user62@test.com,Test User 62,free,3,0,0,0.7062558,High,2026-06-02 05:40:29.554195+00:00
59,user59@test.com,Test User 59,free,3,0,0,0.6873676,High,2026-06-04 02:00:14.866391+00:00
94,user94@test.com,Test User 94,free,1,0,0,0.6867693,High,2026-05-21 04:53:21.854165+00:00
82,user82@test.com,Test User 82,free,2,0,0,0.65987515,Medium,2026-05-17 17:25:34.136652+00:00
80,user80@test.com,Test User 80,free,2,0,0,0.65987515,Medium,2026-06-17 06:45:42.703875+00:00
89,user89@test.com,Test User 89,free,1,0,0,0.61709064,Medium,2026-05-14 15:03:37.407038+00:00
85,user85@test.com,Test User 85,free,2,0,0,0.5625885,Medium,2026-05-13 09:44:58.256081+00:00
86,user86@test.com,Test User 86,free,2,0,0,0.45224103,Medium,2026-06-09 07:24:06.571187+00:00
92,user92@test.com,Test User 92,free,1,0,0,0.34974283,Medium,2026-06-11 15:55:24.174976+00:00
71,user71@test.com,Test User 71,free,3,0,0,0.32474518,Low,2026-06-09 08:42:36.882570+00:00
91,user91@test.com,Test User 91,premium,1,0,1,0.26610336,Low,2026-06-08 19:07:38.332051+00:00
84,user84@test.com,Test User 84,premium,2,0,1,0.23970547,Low,2026-06-20 17:48:19.684602+00:00
77,user77@test.com,Test User 77,premium,2,0,1,0.21642601,Low,2026-06-12 13:09:31.364021+00:00
76,user76@test.com,Test User 76,free,2,0,0,0.21099973,Low,2026-06-20 05:44:05.204440+00:00
87,user87@test.com,Test User 87,free,2,0,0,0.20455562,Low,2026-06-19 03:17:39.817600+00:00
48,user48@test.com,Test User 48,free,4,1,0,0.14530544,Low,2026-06-08 21:40:53.785371+00:00
57,user57@test.com,Test User 57,free,4,1,0,0.105244234,Low,2026-06-10 13:12:36.679808+00:00
